text,science_related,scientific_claim,scientific_reference,scientific_context
Check out this summary of recent developments in UNESCO: space exploration,1,0.0,0.0,1.0
Event recap: discussions on the future of social behavior held at the Global Science Forum.,1,0.0,0.0,1.0
Partnership between University of Oxford and Stanford to advance scientific understanding of public health.,1,0.0,0.0,1.0
Read the latest findings on marine biology published in the Journal of Medical Research.,1,0.0,0.0,1.0
Govt pledges new grants to support clean energy innovations. #PolicyAndScience,1,0.0,0.0,1.0
New research funding announced for mental health studies. #ScienceNews,1,0.0,0.0,1.0
Read the latest findings on cancer research published in the Journal of Medical Research.,1,0.0,0.0,1.0
Study reveals new insights into climate change using AI and big data.,1,0.0,0.0,1.0
Partnership between University of Oxford and MIT to advance scientific understanding of public health.,1,0.0,0.0,1.0
social behavior is now a priority research area according to the National Science Foundation.,1,0.0,0.0,1.0
Event recap: discussions on the future of nanotechnology held at the Global Science Forum.,1,0.0,0.0,1.0
Annual report shows growing interest in quantum computing across scientific communities.,1,0.0,0.0,1.0
Check out this summary of recent developments in NASA: neuroscience,1,0.0,0.0,1.0
Annual report shows growing interest in data science across scientific communities.,1,0.0,0.0,1.0
Read the latest findings on social behavior published in the Journal of Medical Research.,1,0.0,0.0,1.0
Partnership between CNRS and ETH Zurich to advance scientific understanding of cancer research.,1,0.0,0.0,1.0
Study reveals new insights into quantum computing using AI and big data.,1,0.0,0.0,1.0
Check out this summary of recent developments in CNRS: social behavior,1,0.0,0.0,1.0
Partnership between NASA and WHO to advance scientific understanding of cancer research.,1,0.0,0.0,1.0
Check out this summary of recent developments in Harvard: marine biology,1,0.0,0.0,1.0
space exploration is now a priority research area according to the National Science Foundation.,1,0.0,0.0,1.0
Check out this summary of recent developments in Stanford: space exploration,1,0.0,0.0,1.0
Event recap: discussions on the future of nanotechnology held at the Global Science Forum.,1,0.0,0.0,1.0
Study reveals new insights into data science using AI and big data.,1,0.0,0.0,1.0
Major breakthrough in NASA reported by researchers at marine biology.,1,0.0,0.0,1.0
Check out this summary of recent developments in CNRS: climate change,1,0.0,0.0,1.0
Partnership between Stanford and Inserm to advance scientific understanding of quantum computing.,1,0.0,0.0,1.0
Major breakthrough in WHO reported by researchers at space exploration.,1,0.0,0.0,1.0
Study reveals new insights into nanotechnology using AI and big data.,1,0.0,0.0,1.0
New research funding announced for marine biology studies. #ScienceNews,1,0.0,0.0,1.0
AI ethics is now a priority research area according to the National Science Foundation.,1,0.0,0.0,1.0
New research funding announced for vaccination studies. #ScienceNews,1,0.0,0.0,1.0
Partnership between CNRS and Inserm to advance scientific understanding of nanotechnology.,1,0.0,0.0,1.0
Partnership between ETH Zurich and UNESCO to advance scientific understanding of vaccination.,1,0.0,0.0,1.0
